"id_cat","categorie","id_track","nom_track","id_art","nom_art","id_album","nom_album","date_album"
32,"edm","4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","64M6ah0SkkRsnPGtGiRAbb","Bebe Rexha","7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","2022-08-26"
32,"edm","2R4AlwtrrkMaRKojcTIzmL","For the First Time","3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","4NNq2vwTapv4fSJcrZbPH7","This Old Dog","2017-05-05"
32,"edm","0nrRP2bk19rLc0orkWPQk2","Wake Me Up","1vCWHaC5f2uS3yhpwWbIA6","Avicii","2H6i2CrWgXE1HookLu8Au0","True","2013-01-01"
32,"edm","7H7NyZ3G075GqPx2evsfeb","Chamber Of Reflection","3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","2sij95QgjmgrhNv33achzn","Salad Days","2014-04-01"
32,"edm","6jgkEbmQ2F2onEqsEhiliL","My Kind of Woman","3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","2XgBQwGRxr4P7cHLDYiqrO",2,"2012-10-16"
32,"edm","3BKD1PwArikchz2Zrlp1qi","Baby Don't Hurt Me","6AMd49uBDJfhf30Ak2QR5s","Coi Leray","327tc3Eruk1HP1w62iqROy","Baby Don't Hurt Me","2023-04-06"
32,"edm","51FvjPEGKq2zByeeEQ43V9","El Merengue","0tmwSHipWxN12fsoLcFU3B","Manuel Turizo","6sU751LOdNBPvVErW1GunP","El Merengue","2023-03-03"
32,"edm","6NdnvPwQvZb147DVa4x14h","Heartbroken (feat. Jessie Murph & Polo G)","6AgTAQt8XS6jRWi4sX7w49","Polo G","4cfA6cGpQSXr8jMMxfnNaS","Heartbroken (feat. Jessie Murph & Polo G)","2023-07-21"
32,"edm","0ct6r3EGTcMLPtrXHDvVjc","The Nights","1vCWHaC5f2uS3yhpwWbIA6","Avicii","0h2knr6qpiAq0tV5ri5JMF","The Days / Nights","2014-01-01"
33,"electro","3FU6urUVsgXa6RBuV2PdRk","Heartless (feat. Morgan Wallen)","4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen","2Om5VEKaBd4Afht33ToQGD","Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil","2020-05-29"
